"Your Own Overworld","","High Flyin'","","The Twilight Forest (And Friends)","","Up In The Clouds","","The Core Of The Center Of The Overworld","","Lovecraft? No, Thaumcraft. (Unfinished)","","Paradise In Another Dimension","","The Endless Dunes","","Deep, Dark And Dank (Pre-Anidia Update | Unfinished)","","Buggin' Out","","Alone In The Dark (Unfinished)","","Some Wizardry Required (Unfinished)","","Dragons & Dungeons","","Pam Says You're A Farmer Now","","Growing Gold, Literally!","","The Most Unique Crops (Unfinished)","","Dungeon Tactics","","The Good And The Damned","","Reliquary (Of Ancient Artifacts!)","","Inventory Pets","","The Most Messy Chapter (Unfinished)","","Extra Utilities","","Interdimensional Adventures","","Caverns II (Unfinished)","","Spartan Weapons Collection","","The Grind Don't Stop","","Amazing Architects","","Feats of Strength",""
"Its My Money and I Need It Now","","Balloon Upgrade (Tier 5)","","Ghetto Style","","Slide to the Left!","","Heat","","Thaumium Essentia Smeltery","","Air Compressor","","Shu's Breath","","The Old Fashioned Way","","Almost A True Fly!","","Tenebrum Ingot","","Apprentice Sage Tome","","College All Over Again","","500x Cactus Fruit","","Fiery Ingot Seeds","","","","Simple Protection","","Only Comes In Black And White","","Monster Mash (Warmup)","","Pet Pets!","","Your Second Wind!","","Quintuple Compressed Cobblestone","","Let Me In---!!","","","","Jungle Myrmex Hammer","","Artefact Trader (Diamond)","","Warped Farmland","","Barrishee Banisher",""
"The Best Brew","","Engine Upgrade (Tier 5)","","Maze-Runner","","Chick Maker","","The Firey Forge of Flame","","Hungry Chest","","Midget Murderer","","Atum's Will","","The Basics","","Third-World Dimension","","Nightstone","","Cold Hearted","","Back Foul Beast!","","Mustard Seed","","Skeleton Seeds","","","","You're The Best Pirate I've Ever Met","","The Great Tablets","","Burning Knowledge","","You Just Don't Know","","Where Did It Come From?","","Octuple Compressed Cobblestone","","Where'd He Go?","","","","Iron Spear","","Scale Seller (Dragons)","","Warped Altar","","Nagamancer",""
"Spin to Win","","Balloon Upgrade (Tier 1)","","Lamp of Cinders","","Backaech","","The Dawn of Stone","","Auxiliary Slurry Pump","","You Have A Problem","","Ra's Fury","","Sludge Slurpee","","The Ants And The Bees","","Ebonite Pickaxe","","Icey Metal","","KISS Would Be Jealous Of This Thing","","Millet Seed","","Ironwood Seeds","","","","The Soul Bowl","","See-Me-Not-Dust","","The Priests Revenge","","Holiday Helpers","","Charged Up!","","Filtering Filters With Filters","","Temporal Traveler","","","","Dragonbone Spear","","Ghost Buster","","Warped Observation Tower","","Cheating Death V",""
"My First Dog!","","Core Upgrade (Tier 5)","","CAUTION: DANGEROUS","","Back Foul Beast!","","Is It Leaking?","","Thaumic Augmentation","","Zircon Crystal","","Tefnuts's Rain","","Yea ''Loot''","","Praying To Bugs?","","Nightshroom Spore Bomb","","10 Years Of Study","","I Feel Like A Fairy","","500x Taro","","Wither Skeleton Chunk","","","","Shadow Battle","","detnahcnesiD","","Essence Aficionado","","Inanimate Intimacy","","The Remote Remote","","Now Do It Again","","World Walker","","","","Lead Ingot","","64x Bat Wing","","Warped Spa","","Of Fire And Ice",""
"Better Take Me Back Block","","Core Upgrade (Tier 2)","","The Twilight Zone","","Blistering","","How Does Anyone Do Anything Around Here?","","Warded Jar","","So No Head?","","Your Dad's Death Gift","","C'mout Wher'ever Y'ar!","","Bug Gods, Oh Bug Gods!","","Rouxe Rock","","The Best Advice","","Abominable Snowman","","500x Coconut","","Amber Seeds","","","","Prince Charming","","Slain To Rest","","Infinite Water Source Ain't Nothing Now","","Feed When You Need","","You Can't Stop The Rain--","","I Always Feel Like","","And Going, And Going, And Going","","","","Silver Spear","","Cube Killer","","Warped Farmland + Tainted Tree","","Journey Juror",""
"Tent Mallet","","Core Upgrade (Tier 4)","","Hail Hydra!","","Mo Moas!","","Transmutation","","Vis Regenerator","","Fishy Fellow","","Atum's Protection","","Spicy Life","","Some Bugs Run Up To 10 MPH","","Nagrilite Ingot","","Flawlessly Cut","","Spicy Dragon Wings","","500x Brussel Sprout","","Does It Look Like I Care?","","","","One Bit Of Info","","Father I Come To You A Sinner","","Where Did He Come From?","","The Mythical Magical World Of Inside Jokes","","This Is Crazy...","","I THOUGHT YOU SAID NO AUTOMATION DREAMS","","Tranquil","","","","Lead Dagger","","Mander Manslaughter","","Paste Container","","Rekting Ball I",""
"Begone!","","Lesser Speed (Module)","","Phantom Armaments","","More Life, More Love","","Rock-Em Sock-Em Steve","","Endless NOT FREE Water","","Elijah's Eyeballs","","Anput's Hunger","","Syrmorite Armaments","","Bug Tamer","","Tenebrum Pickaxe","","Ancient Altars","","Building With Bones!","","500x Vanilla Bean","","Valonite Seeds","","","","Ankle Biter","","Hoodoo Boodoo Voodoo!","","Magicbane? More Like MagicBANG!","","Critters And Crawlies","","You, You, You, Not You","","Silence Is Golden!","","Your Pocket Portal","","","","Tin Spear","","Bat Outta' Hell","","Building Gadget","","Mob Mobster II",""
"Bronze Coin Turn-In","","Balloon Upgrade (Tier 3)","","Minishroom","","Victory or Death!","","Ten Dozen Drunk Dwarves","","Goggles of Revealing","","Deep Diver","","Montu's Blast","","From Death, Comes Life","","Did You Ever Even Have An Ant Farm?","","Geode","","A Stick You Picked Up","","Sterling","","Kale Seed","","Superium Watering Can","","","","Hammer Away","","Familiar Following","","Is This How Pads Work?","","","","Slime Zone","","Sun Crystal","","Broken? (TESTING REQUIRED)","","","","Silver Dagger","","Pyradical","","Warped Jar Storage","","Ghastastic",""
"This Isn't Going To Happen All Over Again Is It?","","Engine Upgrade (Tier 2)","","Giant's Pickaxe","","Lettuce Pray","","Is It Flammable?","","Wonderous Work","","Floral Fellow","","Anubis's Mercy","","Ring of Friendship","","Damn Mosquitos","","Tenebrum Helmet","","Master Sage Tome","","Colder Than My Ex","","Chili Pepper Seed","","Glowstone Seeds","","","","Soul Saver","","Why Do I Keep Catching Dinks?","","Micheladas!","","","","If Scotty Was An Enderman","","Little Splash Of Sinister","","Golden Danger Door!","","","","Diamond Katana","","64x Squid Beak","","Template Manager","","Menace To Sludgeciety",""
